"","date","current","new","returning","current_r","new_r","returning_r","rev_crowns","arpu_crowns","rev_ingame","arpu_ingame","rev_ppdcard","arpu_ppdcard","rev_monthly","arpu_monthly","rev_prepaid","arpu_prepaid","rev_semi","arpu_semi","rev_annual","arpu_annual","rev_sub_ppt","arpu_sub_ppt","rev_total","arpu_total","dau"
"1","2021-01-01",42422,1169,4425,1,1,1,80232.23,1.67094780906365,20697.1,0.431045901366211,6491,0.135184105298234,29881.61,0.622326099633455,508,0.0105798067310896,2347.47,0.0488893285571476,17355.61,0.361454723425525,50092.69,1.04324995834722,157513.02,3.28042777407531,48016
"2","2021-01-02",42056,1048,4162,1,1,1,67855.76,1.43561460669403,15838.56,0.335094148013371,6280.5,0.132875639994922,29842.74,0.631378580798037,618,0.013074937587272,1553.92,0.0328760631320611,13233.75,0.279984555494436,45248.41,0.957314137011806,135223.23,2.86089853171413,47266
"3","2021-01-03",42781,1192,4164,1,1,1,62112.47,1.29032698340154,14629.12,0.303905935143445,4344.94,0.0902619606539668,30298.03,0.629412510127345,448.5,0.00931715728026258,2780.34,0.0577588964829549,17698.29,0.367664997818726,51225.16,1.06415356170929,132311.69,2.74864844090824,48137
